local_u,local_v
0,16
0,19
0,25
0,55
1,15
1,26
1,29
1,35
2,25
2,36
2,39
2,45
3,35
3,46
3,49
3,55
4,15
4,45
4,56
4,59
5,11
5,14
5,20
5,50
6,10
6,21
6,24
6,30
7,20
7,31
7,34
7,40
8,30
8,41
8,44
8,50
9,10
9,40
9,51
9,54
10,24
10,51
11,17
11,20
11,23
12,16
12,18
12,24
12,58
13,17
13,51
13,57
13,59
14,50
14,52
14,58
15,26
15,59
16,55
16,58
17,23
17,59
18,22
18,24
18,26
19,23
19,25
19,27
20,34
21,27
21,30
21,33
22,26
22,28
22,34
23,27
25,36
27,33
28,32
28,34
28,36
29,33
29,35
29,37
30,44
31,37
31,40
31,43
32,36
32,38
32,44
33,37
35,46
37,43
38,42
38,44
38,46
39,43
39,45
39,47
40,54
41,47
41,50
41,53
42,46
42,48
42,54
43,47
45,56
47,53
48,52
48,54
48,56
49,53
49,55
49,57
51,57
52,56
52,58
53,57
